Stars,Year of Release,Price,Screen Size,System Memory (RAM),Brand_Group_Apple,Brand_Group_Gaming,Brand_Group_Mainstream,Operating System_chrome,Operating System_mac,Operating System_windows,Backlit Keyboard_No,Backlit Keyboard_Yes
4.2,2022.0,149.99,14.0,4.0,0,0,1,0,0,1,1,0
4.6,2023.0,749.99,14.0,16.0,0,0,1,0,0,1,0,1
4.7,2022.0,429.99,15.6,8.0,0,0,1,0,0,1,1,0
4.5,2021.0,649.99,15.6,16.0,0,0,1,0,0,1,1,0
4.4,2022.0,149.0,14.0,4.0,0,0,1,1,0,0,1,0
4.8,2023.0,749.99,16.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,399.99,17.3,8.0,0,0,1,0,0,1,1,0
4.5,2022.0,379.99,14.0,8.0,0,0,1,0,0,1,1,0
4.8,2020.0,749.99,13.3,8.0,1,0,0,0,1,0,0,1
4.7,2023.0,479.99,15.6,8.0,0,0,1,0,0,1,0,1
3.3,2023.0,329.99,15.6,8.0,0,0,1,0,0,1,1,0
4.8,2023.0,549.99,16.0,8.0,0,0,1,0,0,1,0,1
4.6,2023.0,629.99,15.6,8.0,0,0,1,0,0,1,0,1
3.8,2022.0,229.99,15.6,4.0,0,0,1,0,0,1,1,0
4.9,2023.0,1799.0,14.2,16.0,1,0,0,0,1,0,0,1
4.5,2022.0,249.0,14.0,4.0,0,0,1,1,0,0,1,0
4.3,2022.0,1100.99,16.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,749.99,15.6,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,249.0,14.0,4.0,0,0,1,1,0,0,1,0
4.8,2023.0,2899.0,14.2,32.0,1,0,0,0,1,0,0,1
4.8,2023.0,1299.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2023.0,279.0,12.2,4.0,0,0,1,1,0,0,1,0
4.7,2023.0,479.99,15.6,8.0,0,0,1,0,0,1,0,1
4.9,2023.0,1799.0,14.2,16.0,1,0,0,0,1,0,0,1
4.6,2023.0,899.99,14.5,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,1359.99,16.0,32.0,0,0,1,0,0,1,0,1
4.7,2022.0,429.99,15.6,8.0,0,0,1,0,0,1,1,0
4.9,2023.0,1349.99,17.3,16.0,0,0,1,0,0,1,0,1
4.1,2023.0,1299.99,14.0,16.0,0,1,0,0,0,1,0,1
4.8,2021.0,1399.99,14.4,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,189.0,14.0,4.0,0,0,1,1,0,0,1,0
4.2,2022.0,189.99,11.6,4.0,0,0,1,0,0,1,1,0
4.4,2022.0,1299.99,17.3,16.0,0,1,0,0,0,1,0,1
4.5,2022.0,1049.99,13.4,32.0,0,0,1,0,0,1,0,1
4.3,2023.0,799.99,15.6,8.0,0,1,0,0,0,1,0,1
4.7,2022.0,429.99,15.6,8.0,0,0,1,0,0,1,1,0
4.5,2022.0,479.99,15.6,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,699.99,16.0,8.0,0,0,1,0,0,1,0,1
4.8,2023.0,999.99,15.6,32.0,0,1,0,0,0,1,0,1
4.6,2022.0,499.99,15.6,8.0,0,0,1,0,0,1,1,0
4.7,2023.0,1149.99,16.1,16.0,0,1,0,0,0,1,0,1
4.7,2023.0,999.99,14.0,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,1352.99,16.0,16.0,0,0,1,0,0,1,0,1
4.4,2021.0,369.0,13.3,8.0,0,0,1,1,0,0,1,0
4.6,2022.0,549.99,12.4,8.0,0,0,1,0,0,1,1,0
4.6,2022.0,549.99,12.4,8.0,0,0,1,0,0,1,1,0
4.2,2022.0,199.99,14.0,4.0,0,0,1,0,0,1,1,0
4.5,2022.0,1499.99,15.6,16.0,0,0,1,0,0,1,0,1
4.1,2023.0,949.99,15.6,16.0,0,0,1,0,0,1,0,1
4.2,2022.0,199.99,14.0,4.0,0,0,1,0,0,1,1,0
4.5,2023.0,679.99,14.0,8.0,0,0,1,0,0,1,1,0
4.6,2022.0,449.0,12.4,4.0,0,0,1,1,0,0,1,0
3.9,2022.0,1699.99,13.4,32.0,0,0,1,0,0,1,0,1
4.6,2022.0,549.99,12.4,8.0,0,0,1,0,0,1,1,0
4.7,2023.0,1699.99,16.0,16.0,0,0,1,0,0,1,0,1
4.3,2022.0,1303.99,13.4,16.0,0,0,1,0,0,1,0,1
4.6,2023.0,1649.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2021.0,534.99,13.3,8.0,0,0,1,1,0,0,0,1
4.6,2022.0,1800.99,15.6,16.0,0,0,1,0,0,1,0,1
5.0,2023.0,1891.99,17.0,32.0,0,0,1,0,0,1,0,1
4.3,2022.0,599.99,14.0,8.0,0,0,1,0,0,1,1,0
4.8,2023.0,699.99,13.3,8.0,0,0,1,0,0,1,0,1
5.0,2021.0,899.99,17.3,16.0,0,1,0,0,0,1,0,1
4.6,2023.0,749.99,14.0,8.0,0,0,1,0,0,1,0,1
4.7,2023.0,1049.99,14.0,16.0,0,0,1,0,0,1,0,1
3.0,2020.0,1106.89,15.6,32.0,0,0,1,0,0,1,0,1
4.5,2023.0,949.99,14.0,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,549.99,16.0,8.0,0,0,1,0,0,1,0,1
4.5,2022.0,2099.99,17.0,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,248.99,15.6,4.0,0,0,1,1,0,0,1,0
4.5,2022.0,599.99,15.6,8.0,0,0,1,0,0,1,1,0
1.0,2022.0,647.12,14.0,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,319.0,14.0,4.0,0,0,1,1,0,0,1,0
3.9,2022.0,709.99,17.3,8.0,0,0,1,0,0,1,1,0
4.0,2022.0,165.99,11.6,8.0,0,0,1,0,0,1,1,0
5.0,2022.0,122.99,14.0,4.0,0,0,1,0,0,1,1,0
4.3,2022.0,500.99,13.3,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,1699.99,16.0,16.0,0,0,1,0,0,1,0,1
4.8,2022.0,1099.0,13.3,8.0,1,0,0,0,1,0,0,1
4.9,2022.0,1299.0,13.3,8.0,1,0,0,0,1,0,0,1
5.0,2023.0,1299.0,15.0,8.0,1,0,0,0,1,0,0,1
4.8,2023.0,1349.99,14.0,16.0,0,0,1,0,0,1,0,1
4.8,2022.0,1299.0,13.6,8.0,1,0,0,0,1,0,0,1
4.5,2023.0,1499.99,15.6,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,549.99,12.4,8.0,0,0,1,0,0,1,1,0
4.9,2023.0,1499.0,15.0,8.0,1,0,0,0,1,0,0,1
4.5,2023.0,2799.99,16.0,32.0,0,0,1,0,0,1,0,1
4.8,2023.0,1149.99,15.6,16.0,0,0,1,0,0,1,0,1
4.9,2023.0,2699.0,16.2,16.0,1,0,0,0,1,0,0,1
4.8,2023.0,2299.0,14.2,16.0,1,0,0,0,1,0,0,1
4.9,2023.0,2499.0,16.2,16.0,1,0,0,0,1,0,0,1
4.7,2023.0,1199.99,16.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,1149.99,16.1,16.0,0,1,0,0,0,1,0,1
4.8,2023.0,319.0,14.0,4.0,0,0,1,1,0,0,1,0
4.6,2023.0,399.0,15.6,8.0,0,0,1,1,0,0,1,0
4.2,2022.0,199.99,14.0,4.0,0,0,1,0,0,1,1,0
4.5,2022.0,269.0,15.6,4.0,0,0,1,1,0,0,1,0
4.5,2023.0,1749.99,16.0,16.0,0,0,1,0,0,1,0,1
4.4,2022.0,1199.99,15.6,16.0,0,1,0,0,0,1,0,1
4.6,2021.0,1799.99,14.4,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,1399.99,14.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,899.99,16.0,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,1349.99,15.6,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,1149.99,15.6,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,1499.99,15.0,16.0,0,0,1,0,0,1,0,1
4.3,2022.0,1100.99,16.0,16.0,0,0,1,0,0,1,0,1
4.6,2023.0,399.0,15.6,8.0,0,0,1,1,0,0,1,0
4.7,2023.0,1499.99,13.5,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,1349.99,15.6,16.0,0,0,1,0,0,1,0,1
4.7,2022.0,948.0,13.5,8.0,0,0,1,0,0,1,0,1
4.7,2022.0,599.99,12.4,8.0,0,0,1,0,0,1,1,0
4.7,2023.0,919.99,15.6,8.0,0,0,1,0,0,1,0,1
4.7,2023.0,749.99,16.0,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,189.0,14.0,4.0,0,0,1,1,0,0,1,0
4.4,2023.0,1999.99,16.0,32.0,0,1,0,0,0,1,0,1
4.7,2023.0,479.0,15.6,8.0,0,0,1,1,0,0,1,0
4.7,2022.0,289.0,15.6,4.0,0,0,1,1,0,0,1,0
4.5,2023.0,1229.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2023.0,1799.99,16.0,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,1149.99,15.6,16.0,0,0,1,0,0,1,0,1
4.5,2021.0,749.99,13.5,8.0,0,0,1,0,0,1,0,1
4.5,2022.0,269.0,15.6,4.0,0,0,1,1,0,0,1,0
4.8,2022.0,1099.99,15.0,8.0,0,0,1,0,0,1,0,1
4.5,2023.0,599.99,13.3,8.0,0,0,1,0,0,1,0,1
4.5,2022.0,559.99,14.0,8.0,0,0,1,0,0,1,0,1
4.8,2023.0,1799.99,15.6,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,1149.99,13.3,16.0,0,0,1,0,0,1,0,1
4.3,2022.0,258.99,15.6,8.0,0,0,1,1,0,0,1,0
4.8,2023.0,1149.99,16.0,16.0,0,0,1,0,0,1,0,1
5.0,2023.0,3499.0,16.2,32.0,1,0,0,0,1,0,0,1
4.5,2022.0,379.0,10.9,4.0,0,0,1,1,0,0,1,0
4.5,2022.0,549.0,16.0,8.0,0,0,1,1,0,0,0,1
4.8,2023.0,1999.99,16.0,16.0,0,0,1,0,0,1,0,1
4.6,2021.0,929.99,12.3,8.0,0,0,1,0,0,1,0,1
4.3,2022.0,2099.99,15.6,32.0,0,1,0,0,0,1,0,1
4.8,2023.0,1249.99,13.3,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,249.0,11.6,4.0,0,0,1,1,0,0,1,0
4.8,2023.0,749.99,16.0,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,899.99,13.3,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,799.99,15.6,8.0,0,0,1,0,0,1,0,1
4.6,2021.0,1199.99,15.0,8.0,0,0,1,0,0,1,0,1
3.8,2023.0,2549.99,18.0,32.0,0,1,0,0,0,1,0,1
4.6,2022.0,449.0,12.4,4.0,0,0,1,1,0,0,1,0
4.6,2023.0,849.99,14.0,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,1800.99,15.6,16.0,0,0,1,0,0,1,0,1
3.0,2023.0,899.99,15.6,8.0,0,0,1,0,0,1,0,1
4.6,2023.0,1399.99,16.0,16.0,0,1,0,0,0,1,0,1
4.4,2023.0,599.99,15.6,8.0,0,0,1,0,0,1,1,0
4.1,2023.0,1599.99,16.0,16.0,0,0,1,0,0,1,0,1
3.7,2023.0,699.99,14.0,8.0,0,0,1,1,0,0,0,1
4.5,2023.0,1199.99,16.0,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,1699.99,13.5,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,1949.99,13.4,32.0,0,0,1,0,0,1,0,1
4.8,2023.0,1349.99,14.0,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,1149.99,13.3,16.0,0,0,1,0,0,1,0,1
4.6,2021.0,499.99,13.0,8.0,1,0,0,0,1,0,0,1
4.5,2021.0,699.0,13.3,8.0,0,0,1,1,0,0,0,1
4.9,2023.0,1699.99,18.0,16.0,0,0,1,0,0,1,0,1
4.8,2022.0,1999.0,15.0,32.0,0,0,1,0,0,1,0,1
4.8,2023.0,699.0,14.0,8.0,0,0,1,1,0,0,0,1
4.5,2022.0,132.99,15.6,4.0,0,0,1,0,0,1,1,0
4.1,2023.0,1249.99,16.1,16.0,0,1,0,0,0,1,0,1
4.5,2022.0,1579.99,16.1,16.0,0,1,0,0,0,1,0,1
4.2,2022.0,1019.99,15.6,16.0,0,0,1,0,0,1,0,1
4.8,2021.0,1998.99,16.2,16.0,1,0,0,0,1,0,0,1
4.2,2023.0,2799.99,15.6,32.0,0,0,1,0,0,1,0,1
4.7,2023.0,899.99,15.6,16.0,0,1,0,0,0,1,0,1
4.6,2023.0,949.99,15.6,8.0,0,0,1,0,0,1,0,1
4.5,2022.0,1199.99,14.0,16.0,0,0,1,0,0,1,0,1
4.7,2021.0,2199.99,14.4,32.0,0,0,1,0,0,1,0,1
5.0,2023.0,799.99,14.0,8.0,0,0,1,0,0,1,0,1
4.1,2023.0,1249.99,16.1,16.0,0,1,0,0,0,1,0,1
4.6,2023.0,1999.99,16.0,16.0,0,1,0,0,0,1,0,1
4.6,2022.0,1199.99,15.0,8.0,0,0,1,0,0,1,0,1
4.7,2022.0,2499.99,15.6,32.0,0,1,0,0,0,1,0,1
4.1,2023.0,1999.99,16.0,16.0,0,1,0,0,0,1,0,1
4.7,2022.0,1299.99,13.5,8.0,0,0,1,0,0,1,0,1
4.5,2023.0,2799.99,16.0,32.0,0,0,1,0,0,1,0,1
4.5,2022.0,899.99,16.0,16.0,0,0,1,0,0,1,0,1
4.4,2022.0,1200.99,14.0,16.0,0,1,0,0,0,1,0,1
4.6,2022.0,699.99,14.0,8.0,0,0,1,0,0,1,0,1
4.2,2022.0,979.99,13.3,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,1352.99,15.6,16.0,0,0,1,0,0,1,0,1
4.4,2021.0,369.0,13.3,8.0,0,0,1,1,0,0,1,0
4.6,2022.0,949.99,13.3,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,649.99,15.6,8.0,0,0,1,0,0,1,0,1
4.5,2021.0,524.99,15.6,8.0,0,0,1,0,0,1,1,0
4.3,2023.0,899.99,15.6,8.0,0,1,0,0,0,1,0,1
4.4,2022.0,384.99,14.0,8.0,0,0,1,1,0,0,0,1
4.7,2023.0,1579.99,16.0,16.0,0,0,1,0,0,1,0,1
3.1,2023.0,2799.99,16.0,16.0,0,1,0,0,0,1,0,1
3.3,2019.0,749.99,13.3,8.0,1,0,0,0,1,0,0,1
4.3,2022.0,1312.99,14.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,1949.99,13.4,32.0,0,0,1,0,0,1,0,1
4.6,2021.0,559.99,15.6,8.0,0,0,1,0,0,1,0,1
5.0,2022.0,789.99,15.6,16.0,0,0,1,0,0,1,1,0
4.5,2023.0,2199.99,16.0,16.0,0,0,1,0,0,1,0,1
4.2,2023.0,2699.99,16.0,16.0,0,1,0,0,0,1,0,1
5.0,2023.0,949.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2023.0,849.99,15.6,16.0,0,1,0,0,0,1,0,1
3.9,2022.0,989.99,15.6,16.0,0,0,1,0,0,1,0,1
4.2,2022.0,1599.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,399.99,15.6,8.0,0,0,1,0,0,1,0,1
4.7,2022.0,1065.99,17.3,12.0,0,0,1,0,0,1,0,1
4.9,2021.0,2198.99,16.2,16.0,1,0,0,0,1,0,0,1
4.5,2022.0,799.99,15.6,8.0,0,0,1,0,0,1,0,1
4.7,2022.0,799.99,15.6,16.0,0,0,1,0,0,1,0,1
5.0,2023.0,419.99,13.3,8.0,1,0,0,0,1,0,0,1
4.8,2023.0,1999.99,13.3,16.0,0,0,1,0,0,1,1,0
4.5,2023.0,2799.99,16.0,32.0,0,0,1,0,0,1,0,1
4.7,2023.0,919.99,15.6,8.0,0,0,1,0,0,1,0,1
4.5,2021.0,699.99,15.6,16.0,0,0,1,0,0,1,1,0
4.5,2023.0,1099.99,16.0,16.0,0,0,1,0,0,1,0,1
4.1,2022.0,2199.99,15.6,16.0,0,1,0,0,0,1,0,1
4.5,2021.0,699.0,13.3,8.0,0,0,1,1,0,0,0,1
4.7,2023.0,499.0,15.6,8.0,0,0,1,1,0,0,1,0
5.0,2018.0,999.99,15.4,16.0,1,0,0,0,1,0,0,1
4.6,2023.0,1999.99,16.0,16.0,0,1,0,0,0,1,0,1
2.5,2022.0,1099.99,15.6,12.0,0,0,1,0,0,1,0,1
4.5,2022.0,1279.99,13.3,16.0,0,0,1,0,0,1,0,1
5.0,2023.0,949.99,16.0,8.0,0,0,1,0,0,1,0,1
4.3,2022.0,1399.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,379.0,10.9,4.0,0,0,1,1,0,0,1,0
3.0,2023.0,2299.99,16.0,16.0,0,0,1,0,0,1,0,1
4.7,2022.0,565.99,17.3,8.0,0,0,1,0,0,1,1,0
3.9,2022.0,313.99,13.3,8.0,0,0,1,0,0,1,1,0
4.5,2021.0,249.99,14.0,4.0,0,0,1,1,0,0,1,0
4.6,2022.0,949.99,13.3,8.0,0,0,1,0,0,1,0,1
4.8,2023.0,1749.99,13.5,16.0,0,0,1,0,0,1,0,1
4.5,2023.0,1149.99,15.6,8.0,0,0,1,0,0,1,0,1
4.5,2023.0,1749.99,16.0,16.0,0,0,1,0,0,1,0,1
4.0,2022.0,1249.99,14.0,16.0,0,0,1,0,0,1,0,1
4.5,2023.0,1499.99,15.6,16.0,0,0,1,0,0,1,0,1
4.5,2020.0,674.99,13.3,8.0,1,0,0,0,1,0,0,1
4.2,2019.0,566.99,13.3,8.0,1,0,0,0,1,0,0,1
4.2,2022.0,949.99,15.6,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,800.99,15.6,16.0,0,0,1,0,0,1,0,1
4.5,2021.0,1599.99,14.4,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,899.99,13.3,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,104.99,11.6,4.0,0,0,1,1,0,0,1,0
4.0,2023.0,1849.99,16.1,16.0,0,1,0,0,0,1,0,1
4.5,2022.0,2295.99,15.6,32.0,0,0,1,0,0,1,0,1
4.2,2020.0,849.99,13.3,8.0,1,0,0,0,1,0,0,1
4.5,2023.0,1199.99,16.0,16.0,0,0,1,0,0,1,0,1
3.7,2019.0,699.99,13.3,8.0,1,0,0,0,1,0,0,1
4.5,2022.0,750.99,15.6,12.0,0,0,1,0,0,1,0,1
4.0,2023.0,865.99,15.6,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,899.99,14.0,16.0,0,0,1,0,0,1,0,1
4.3,2021.0,499.0,17.3,8.0,0,0,1,1,0,0,0,1
